full_id,osm_id,osm_type,water,waterway,emergency,building:levels,aircraft:type,wikimedia_commons,wheelchair,ship:type,reservation,ref,opening_hours,historic,wetland,addr:street,addr:housenumber,addr:country,addr:city,building,artwork_type,source:name,leaf_cycle,layer,leaf_type,reservoir_type,landuse,wastewater,survey:date,fishing,oktmo:user,barrier,alt_name:ru,place,tidal,dock,covered,description,seasonal,local_name,access,name:es,old_name,name:it,int_name,loc_name,contact:website,operator,start_date,name:be,amenity,official_name,salt,intermittent,tourism,name:de,sport,alt_name,boat,wikipedia,wikidata,name:ru,name:en,type,natural,name:uk,name
r3368597,"3368597",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Großer Teich,,,,ru:Пресненские пруды,Q21644068,Большой пруд,Big Pond,multipolygon,water,Великий ставок,Большой пруд
r3368919,"3368919",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Großer Teich,,,,ru:Пресненские пруды,Q21644068,Большой пруд,,multipolygon,water,Великий ставок,Большой пруд
r3437423,"3437423",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,multipolygon,water,Ставок Копань,Пруд Копань
r3665421,"3665421",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r3771333,"3771333",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,Садовий ставок,Садовый пруд
r4002427,"4002427",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,Удальцівські ставки,Удальцовские пруды
r4105110,"4105110",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r4174226,"4174226",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Цыганский пруд,,,,,,,,,,,,,,,,,ru:Егерский пруд,Q19909270,,,multipolygon,water,Єгерський ставок,Егерский пруд
r4258497,"4258497",relation,lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q19916376,,,multipolygon,water,Святе озеро,Святое озеро
r4269771,"4269771",relation,lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q4518729,,,multipolygon,water,Чорне озеро,Чёрное озеро
r4666381,"4666381",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,multipolygon,water,Катерининський ставок,Екатерининский пруд
r4849360,"4849360",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r4856229,"4856229",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r4859689,"4859689",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r4870455,"4870455",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r5602038,"5602038",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,Комарівський ставок,Комаровский пруд
r5639432,"5639432",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru:Красный пруд (Измайлово),Q4239713,,,multipolygon,water,Червоний ставок,Красный пруд
r5644714,"5644714",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,ставок Лось,пруд Лось
r5684573,"5684573",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,Верхній Чертанівський ставок,Верхний Чертановский пруд
r5889516,"5889516",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Большой Тропарёвский пруд,,,,,,,,,,,,,,,,,,,,,multipolygon,water,Теплостанський ставок,Теплостанский пруд
r6230502,"6230502",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r6233740,"6233740",relation,basin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Купалы,fountain,,,,,,,,,,,,,multipolygon,water,Куполи,Купола
r6233741,"6233741",relation,basin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Купалы,fountain,,,,,,,,,,,,,multipolygon,water,Куполи,Купола
